H1-O1 	H1-O2 	H1-O3 	H1-O4 	H2-O1 	H2-O2 	H2-O3 	H2-O4 	H3-O1 	H3-O2 	H3-O3 	H3-O4 	H4-O1 	H4-O2 	H4-O3 	H4-O4 	H5-O1 	H5-O2 	H5-O3 	H5-O4 	H6-O1 	H6-O2 	H6-O3 	H6-O4 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I1-H5 	I1-H6 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I2-H5 	I2-H6 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I3-H5 	I3-H6 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I4-H5 	I4-H6 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I5-H5 	I5-H6 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I6-H5 	I6-H6 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	I7-H5 	I7-H6 	
  -23	   21	   36	   25	   17	  -29	    8	  -21	   25	  -17	  -11	   18	  -15	   11	  -37	  -20	  -31	   -5	   12	    5	   11	   41	   16	    9	    6	   -1	  -11	   -9	    0	   -9	  -18	   -2	   -8	   -9	    7	   -5	   14	   -9	   12	   11	   -3	   -7	   -6	   -1	   15	    4	   -4	   -5	   -5	   11	  -15	    2	   -6	   11	   -1	    9	  -15	   16	  -13	    6	    3	   -5	    8	  -14	    6	    7	
  -22	   21	   36	   25	   16	  -27	    9	  -20	   25	  -17	  -10	   16	  -14	   11	  -36	  -19	  -31	   -5	   12	    5	   11	   39	   16	    8	    6	   -1	  -10	   -9	    0	   -9	  -18	   -2	   -8	  -10	    7	   -4	   13	   -8	   12	   11	   -2	   -8	   -6	    0	   15	    4	   -3	   -4	   -5	   10	  -14	    2	   -5	   10	   -1	    9	  -15	   15	  -11	    6	    4	   -6	    8	  -13	    5	    5	
  -21	   20	   34	   24	   16	  -27	    8	  -20	   24	  -17	  -10	   17	  -15	   10	  -34	  -19	  -29	   -4	   11	    4	   11	   39	   15	    7	    6	   -1	  -11	   -9	    0	   -9	  -17	   -1	   -8	   -9	    6	   -4	   12	   -8	   11	   11	   -3	   -7	   -6	   -1	   14	    3	   -2	   -5	   -4	   10	  -14	    2	   -5	   10	   -1	    9	  -14	   14	  -12	    5	    3	   -5	    7	  -13	    5	    6	
  -21	   19	   33	   24	   15	  -26	    8	  -19	   23	  -16	   -9	   16	  -13	   10	  -34	  -19	  -29	   -4	   11	    5	   10	   37	   15	    8	    5	   -1	  -10	   -8	    0	   -9	  -17	   -2	   -8	   -8	    6	   -5	   13	   -8	   11	   10	   -3	   -7	   -5	    0	   15	    4	   -3	   -4	   -5	   10	  -13	    3	   -4	   10	   -1	    8	  -14	   14	  -11	    5	    3	   -5	    7	  -13	    5	    6	
  -20	   19	   33	   22	   15	  -25	    8	  -19	   22	  -16	   -9	   15	  -14	   10	  -33	  -18	  -29	   -4	   10	    4	   10	   37	   15	    7	    6	   -1	   -9	   -9	    0	   -8	  -16	   -2	   -7	   -9	    6	   -4	   12	   -7	   10	   10	   -2	   -7	   -6	    0	   13	    3	   -3	   -5	   -4	   10	  -13	    2	   -5	    9	   -1	    8	  -13	   14	  -11	    5	    4	   -5	    7	  -12	    4	    6	
  -20	   18	   31	   23	   14	  -25	    8	  -18	   22	  -15	   -9	   15	  -13	   10	  -33	  -17	  -27	   -4	   10	    4	   10	   35	   14	    8	    5	   -1	  -10	   -8	    0	   -8	  -16	   -1	   -7	   -8	    6	   -4	   12	   -8	   11	   10	   -2	   -7	   -5	   -1	   14	    4	   -3	   -4	   -4	    9	  -12	    2	   -4	    9	    0	    8	  -13	   13	  -10	    5	    3	   -5	    7	  -12	    5	    5	
  -19	   18	   31	   21	   14	  -24	    7	  -18	   21	  -15	   -9	   15	  -13	   10	  -31	  -17	  -27	   -4	   10	    4	   10	   34	   13	    7	    5	   -1	   -9	   -8	    0	   -8	  -15	   -2	   -7	   -8	    6	   -4	   11	   -7	   10	   10	   -3	   -7	   -6	    0	   13	    3	   -2	   -4	   -5	    9	  -13	    2	   -5	    9	   -1	    8	  -13	   13	  -10	    5	    3	   -5	    6	  -12	    4	    6	
  -18	   17	   30	   22	   14	  -23	    8	  -18	   21	  -15	   -8	   14	  -12	    9	  -31	  -17	  -25	   -3	   10	    4	    9	   34	   14	    6	    5	   -1	   -9	   -8	    0	   -8	  -15	   -1	   -7	   -7	    5	   -3	   11	   -6	    9	    9	   -2	   -6	   -5	   -1	   12	    4	   -3	   -4	   -4	    8	  -11	    1	   -4	    9	   -1	    8	  -13	   13	  -10	    5	    3	   -4	    7	  -11	    5	    5	
  -19	   17	   29	   20	   13	  -23	    7	  -16	   20	  -14	   -9	   14	  -12	    9	  -29	  -16	  -26	   -4	   10	    4	    9	   32	   13	    7	    5	   -1	   -9	   -7	    0	   -7	  -15	   -2	   -6	   -8	    5	   -4	   11	   -7	   10	    9	   -2	   -7	   -5	    0	   13	    3	   -2	   -4	   -4	    9	  -12	    2	   -4	    8	   -1	    7	  -12	   12	  -10	    4	    2	   -4	    6	  -11	    4	    5	
  -17	   16	   28	   20	   13	  -22	    7	  -17	   19	  -14	   -8	   14	  -12	    9	  -30	  -16	  -25	   -3	    9	    3	    9	   32	   13	    7	    5	   -1	   -8	   -8	   -1	   -8	  -14	   -1	   -7	   -7	    6	   -4	   11	   -7	    9	    9	   -2	   -6	   -5	   -1	   12	    3	   -3	   -4	   -3	    8	  -11	    2	   -4	    9	   -1	    7	  -12	   12	   -9	    5	    3	   -5	    6	  -11	    4	    6	
